Title,Body,Status,Priority,Estimate,Labels,Milestone
Initialize Python app skeleton,"## Objective
Set up a production-ready Python project skeleton for the D2RSO port.

## Scope
- Create `src/d2rso` package layout.
- Add `pyproject.toml`.
- Add basic app entrypoint (`python -m d2rso.main`).
- Add lint/format/test scripts.

## Acceptance Criteria
- App starts and shows placeholder window.
- `pytest` runs without discovery errors.
- Lint/format commands execute successfully.

## Out of Scope
- Feature implementation.

## Notes
Keep Windows as primary target.",Now,P0,S,"epic,backend,priority:P0",MVP
Add dependency baseline,"## Objective
Install and lock core dependencies for UI, input hooks, Win32 behavior, and tests.

## Scope
- Add: PySide6, pynput, pywin32, pygame (or inputs), pytest, ruff, black.
- Add dependency docs and rationale.
- Verify imports from clean virtualenv.

## Acceptance Criteria
- Fresh install succeeds from lockfile/requirements.
- `python -m d2rso.main` launches without ImportError.

## Risks
- Version conflicts across input libraries.",Now,P0,S,"backend,priority:P0",MVP
Implement domain models,"## Objective
Create core models with behavior parity.

## Scope
- Implement `SkillItem`, `TrackerProfile`, `Settings`.
- Include state machine methods:
  - `select_key_pressed()`
  - `skill_key_pressed()`
  - `reset_keys()`

## Acceptance Criteria
- Unit tests confirm:
  - Select+Skill sequence works.
  - Skill-only works with no select key.
  - Reset clears partial sequence.

## Notes
Keep models framework-agnostic (no UI dependencies).",Now,P0,M,"backend,priority:P0",MVP
Build JSON settings store,"## Objective
Persist app settings and profiles reliably.

## Scope
- Implement settings load/save service.
- Fallback to defaults on invalid/corrupt JSON.
- Ensure default profile exists when missing.

## Acceptance Criteria
- Settings persist across app restarts.
- Corrupt file does not crash app.
- Default profile auto-created when needed.

## Notes
Store in LocalAppData-equivalent path on Windows.",Now,P0,M,"backend,priority:P0",MVP
Implement key catalog + icon registry,"## Objective
Provide centralized key list + icon loading service.

## Scope
- Build key catalog including keyboard/mouse/gamepad entries.
- Load icons from assets folder.
- Provide lookup API for UI and overlay.

## Acceptance Criteria
- Keys available to dropdown controls.
- Icons render successfully in test UI.
- Missing icon path handled gracefully.",Now,P0,M,"backend,priority:P0",MVP
Create normalized input event contract,"## Objective
Define a device-agnostic input event format.

## Scope
- Create `InputEvent` schema (code, source, timestamp).
- Standardize names (`F1`, `MOUSE2`, `Buttons0`, etc.).
- Implement normalization utilities.

## Acceptance Criteria
- Keyboard/mouse/gamepad adapters all emit same shape.
- Tracker engine consumes one unified event contract.",Now,P0,S,"backend,input,priority:P0",MVP
Implement timer orchestration service,"## Objective
Drive countdown lifecycle independent of UI.

## Scope
- Start/restart/remove active timers by skill ID.
- Emit updates for remaining time and completion.
- Prevent duplicate active trackers for same skill.

## Acceptance Criteria
- Re-trigger refreshes existing timer.
- Completion emits removal event.
- Service is testable without GUI thread.",Now,P0,M,"backend,overlay,priority:P0",MVP
Add unit tests for sequence + timer lifecycle,"## Objective
Validate core logic before UI integration.

## Scope
- Test skill state machine permutations.
- Test timer start/refresh/complete behavior.
- Test disabled skill handling.

## Acceptance Criteria
- All core logic tests pass in CI.
- Edge cases documented in test names/comments.",Now,P0,M,"test,priority:P0",MVP
Build transparent overlay window,"## Objective
Create overlay window for active cooldown display.

## Scope
- Frameless, topmost, transparent background.
- Show icon + optional digits.
- Bind to tracker service updates.

## Acceptance Criteria
- Overlay displays active timers accurately.
- Styling remains usable over game window.",Next,P1,M,"ui,overlay,priority:P1",Parity
Implement preview vs runtime click-through,"## Objective
Support interactive preview mode and click-through runtime mode.

## Scope
- Preview: draggable and hit-test enabled.
- Runtime: Win32 click-through enabled.
- Toggle behavior from control UI.

## Acceptance Criteria
- Preview drag updates saved position.
- Runtime ignores mouse clicks (pass-through).",Next,P1,M,"ui,overlay,priority:P1,risk:high",Parity
